tag,gateway,rssi,ts
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-109,1671085291.794446
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-109,1671085299.117738
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-115,1671085306.6030383
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-111,1671085314.0878148
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-111,1671085336.5975924
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-111,1671085351.784367
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671085366.5741987
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-115,1671085381.5944335
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-107,1671085441.5854526
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-114,1671085449.0816667
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-111,1671085471.5682116
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-115,1671085479.0679436
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-112,1671085486.5683954
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671085501.5885136
AC-1F-09-FF-FE-08-FD-F1,20080029c1ea300,-101,1671085516.6344168
AC-1F-09-FF-FE-08-FD-F1,20080029c5e3677,-113,1671085524.0625954
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-102,1671088003.1884718
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088032.4584055
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-100,1671088032.520206
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671088047.4566166
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-101,1671088047.458557
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-91,1671088055.010165
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088077.4385912
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-108,1671088077.5004406
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-107,1671088084.987401
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-104,1671088085.0206935
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671088092.49718
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088092.5195403
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088107.4587982
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-107,1671088107.489685
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-99,1671088107.5202875
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088114.9724994
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-101,1671088122.459062
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-105,1671088167.432842
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088167.4494867
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088167.5201738
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088190.0062249
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088204.9495552
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088204.960094
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088219.9298198
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-106,1671088220.0201864
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088227.5054564
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088227.5101037
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088234.9294379
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088235.010431
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088257.4492688
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-105,1671088257.4603722
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088257.4801087
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671088264.9692795
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-102,1671088264.9803245
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-91,1671088265.0398285
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088295.1671417
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088302.45895
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088309.9501565
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-117,1671088317.4485512
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088332.6501327
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-99,1671088362.5002568
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088377.4607635
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-107,1671088377.5208232
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671088407.4572499
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671088407.5300543
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-102,1671088414.9612458
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671088415.0212703
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088429.9585006
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671088429.9602067
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671088430.020577
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088445.1515634
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088452.4433975
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088459.9433832
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671088460.4005606
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088474.9437013
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088482.4715548
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-117,1671088497.4435804
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-117,1671088504.9533324
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088519.9635575
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088527.4637733
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-78,1671088527.510365
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671088534.9721634
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671088534.9909842
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088549.9441547
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-101,1671088550.0001485
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671088557.4516752
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-100,1671088557.5108364
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088564.9719121
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088565.0206664
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088579.9719906
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088580.0205297
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088587.4415314
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-105,1671088587.4912071
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-80,1671088587.5201013
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088625.0206573
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088625.1418495
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671088647.4679196
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671088655.0014362
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088677.4685824
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671088692.4704046
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088700.1519418
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088722.4420962
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671088737.4417863
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671088737.5311685
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671088745.0110488
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-88,1671088760.0212662
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088767.464058
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088774.964061
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-106,1671088775.0406392
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088782.4439418
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671088789.9638066
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671088797.5313504
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671088805.0207283
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-102,1671088812.4639127
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671088812.5110357
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-99,1671088820.0213897
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088827.6511636
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088834.9490056
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088842.4489691
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088857.4691875
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-94,1671088872.4736364
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671088879.941089
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-108,1671088880.1511855
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088894.9641523
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671088902.4763873
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-97,1671088917.5112755
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671088917.653914
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671088924.9639618
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671088925.0308795
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671088932.4687047
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088947.4436677
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-101,1671088947.5109916
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671088954.950875
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-108,1671088969.9498868
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-106,1671088970.0113091
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671088984.9501967
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671088992.4640062
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-101,1671089015.0011098
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671089037.474396
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-101,1671089037.5016205
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089044.9520252
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089044.9618604
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-106,1671089059.9612393
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089067.4732277
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-100,1671089067.5111847
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-101,1671089067.6296644
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089089.9435692
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-117,1671089097.452454
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671089097.5214534
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-106,1671089104.9511604
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089119.9593694
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-101,1671089119.9669282
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-104,1671089120.0110188
